company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
aidin,Aidin,http://www.myAidin.com,2011,New York,NY,us,10013,1-10,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer",,"Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care.","Aidin helps hospitals discharge their patients to the best available nursing homes, home health agencies, and other post-acute care providers.",1-10,,,[],,2014-11-12 15:01:24.176547
alarmcom,Alarm.com,www.alarm.com,2000,Leesburg Pike Vienna,VA,us,22182,201-500,Private,Lifestyle & Consumer,,Business to Consumer,,"Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations. Through its connected home platform, millions of people use Alarm.com to help protect and manage the things that matter most – their homes, families, and small businesses. Alarm.com connects a wide range of supported devices across the internet of things to provide an integrated connected home experience through an intelligent cloud-based services platform and easy to use mobile app. Alarm.com solutions are sold exclusively through a network of licensed and authorized Dealer Partners.","Alarm.com is a technology provider of connected home services, powering well over one million residential and commercial installations.",NA,Weather,,[],,2014-09-18 16:55:04.662217
allianz,Allianz,http://www.allianzusa.com,1896,New York,NY,us,10019,"10,001+",Public,Finance & Investment,Not reported by company,Business to Consumer,,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",NA,,,[],,2014-09-18 16:55:21.465868
allied-van-lines,Allied Van Lines,http://www.allied.com,1928,Oakbrook Terrace,IL,us,60181,"5,001-10,000",Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government",,"Allied Van Lines is a global relocation company, serving individuals and corporations all over the world for their transportation and storage needs.","As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.",NA,Demographics & Social,,[],,2014-09-18 16:55:38.131411
allstate-insurance-group,AllState Insurance Group,http://www.allstate.com,1931,Northbrook,IL,us,60062,"10,001+",Public,Insurance,Not reported by company,Business to Consumer,,"The Allstate Corporation is a holding company for Allstate Insurance Company. The company’s business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and their affiliates. It is engaged, principally in the United States, in the property-liability insurance, life insurance, retirement and investment product business. 

<p>Allstate's primary business is the sale of private passenger auto and homeowners insurance. The Company also sells several other personal property and casualty insurance products, select commercial property and casualty coverages, life insurance, annuities, voluntary accident and health insurance and funding agreements. Allstate primarily distributes its products through exclusive agencies, financial specialists. Allstate has four business segments: Allstate Protection, Allstate Financial, Discontinued Lines and Coverages and Corporate and Other. The Company is a personal lines insurer in the United States.</p>","The Allstate Corporation is the largest publicly held personal, property and casualty insurer in America.",NA,,,[],,2014-09-18 16:56:06.382020
alltuition,Alltuition,https://www.alltuition.com,2009,Chicago,IL,us,60611,1-10,Private,Education,Not reported by company,Business to Consumer,Educational opportunity,"Alltuition.com makes sure you don’t miss out on financial aid. Based on the colleges where you're applying for aid, we instantly match you to your opportunities and help you maximize your chances for aid.","Alltuition is an online search engine for students to find suitable loan providers.
",NA,Education,,[],,2014-09-18 16:56:22.295157
altova,Altova,http://www.altova.com,1992,Beverly,MA,us,01915,51-200,Private,Data/Technology,Not reported by company,Business to Business,,"At Altova, our mission is to deliver standards-based, platform-independent software development tools that empower our customers to create, access, edit and transform information resources. Altova is the creator of XMLSpy® and other award-winning XML, SQL, and UML tools.","Altova is a software company specializing in tools to assist developers with data management, software and application development, and data integration.",NA,Finance,,[],,2014-11-12 14:53:02.962891
amazon-web-services,Amazon Web Services,http://aws.amazon.com,2007,Seattle,WA,us,98109,NA,Public,Data/Technology,Not reported by company,,,"<p>Amazon Web Services offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Amazon Web Services‚Äô (AWS) Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>",Amazon provides cloud computing services through Amazon Web Services to a range of clients.,101+,,,[],,2014-04-08 01:03:56.722203
american-red-ball-movers,American Red Ball Movers,http://www.redball.com,1919,Indianapolis,IN,us,46239,11-50,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer",,American Red Ball Movers is a major long distance moving company in the US that serves families and businesses.,American Red Ball Movers is a long distance relocation moving company that serves families and businesses.,NA,Demographics & Social,,[],,2014-09-18 16:57:53.964955
amida-technology-solutions,Amida Technology Solutions,http://amida-tech.com/index.html,2013,Washington,DC,us,20036,1-10,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer",,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information.","Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",NA,,,[],,2014-11-12 14:44:41.801042
analytica,Analytica,http://www.analytica.net/,2007,Washington DC,DC,us,20005,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing, Software licensing, Information Brokering","Business to Business, Business to Government",,"<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>

<p>Analytica is an SBA certified HUBZone, small business and it has been recognized each of the past three years as a fast growing and “Top 50” small businesses.</p>","Analytica assists public sector organizations to identify, leverage, analyze and manage information.",1-10,,,[],"Analytica is a self-funded, private company.  Driven by customer demand in assisting with managing, leveraging, and analyzing public sector information, the company has experienced exponential growth over the past five years and generated over $15.0 MM in revenue in 2013.",2014-11-12 14:23:40.496892
apextech-llc,Apextech LLC,apextechllc.com,2003,Arlington,VA,us,22201,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing",Business to Government,,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward-thinking, flexible and scalable.","Apextech LLC, a commercial and government consulting firm, offers clients and partners innovative solutions to heighten business performance.",NA,,,[],"We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).",2014-11-12 14:24:01.183467
appallicious,Appallicious,appallicious.com,2010,San Francisco,CA,us,94104,11-50,Private,Data/Technology,Software licensing,Business to Government,,"Appallicious (http://www.appallicious.com) is an open data visualization company that creates open data products for government agencies using our proprietary platform. Current products include: Disaster Assessment and Assistance Dashboard (DAAD), Code Enforcement Dashboard (CEAD), Apartment Facts, SF Rec & Park App, Neighborhood Score. The civic start-up has also developed the SkippittTM platform, which enables governments and businesses to generate revenue by leveraging your existing customer base and extending it via mobile. Appallicious is based in San Francisco, CA and is a Silicon Valley Innovation Summit A0250 to Watch Winner.",The Appallicious Mobile Commerce Platform is a leading technology for government and business to go mobile.,NA,,,[],"<p>In March 2012, a neighbor of Appallicious co-founder, Yo Yoshida, died tragically after falling through a dilapidated staircase in Yo's apartment. After her death, Yo was inspired to create an application that would provide San Francisco residents with more information about their neighborhoods and the places they live. Neighborhood Score lets you see a score for any block in San Francisco.</p>

<p>Soon Appallicious will be launching Apartment Facts. This service will be a powerful tool for tenants across the country. Apartment Facts will create transparency when it comes to housing safety, accountability, and stopping tragedies like that of Yo's neighbor.</p>",2014-11-12 17:03:44.845589
aquicore,Aquicore,http://www.aquicore.com/,2010,,DC,us,,1-10,Private,Energy,,Business to Business,,"Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties. Aquicore’s platform centralizes critical energy data and provides intuitive and graphical interfaces to streamline management and team collaboration. It's hardware allows for cost-effective and rapid deployment across hundreds of properties in a matter of months regardless of building age, size, or BMS system. Aquicore's platform enables organizations to make timely decisions that improve staff productivity, reduce energy waste, increase tenant satisfaction and meet strategic energy goals.","Aquicore is an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",NA,Energy,,[],,2014-09-18 16:59:29.950084
archimedes-inc,Archimedes Inc.,http://archimedesmodel.com/,2006,San Francisco,CA,us,94105,11-50,Private,Healthcare,Software licensing,"Business to Business, Business to Government, academia",,"Archimedes is a healthcare modelling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision-making, as well as populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes creates models using evidence from clinical trials, epidemiological studies, and other sources to show healthcare decision makers how different options affect outcomes and costs.",NA,,,[],,2014-11-12 14:47:07.754038
areavibes-inc,AreaVibes Inc.,http://www.areavibes.com/,2009,,NY,us,,1-10,Private,Data/Technology,not reported by company,Business to Consumer,,"AreaVibe works to provide you with everything you need to know about every city in the United States. The AreaVibe algorithm assigns a total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion).",AreaVibe works to provide you with everything you need to know about every city in the United States.,NA,"Economics, Environment, Public Safety",,[],,2014-11-12 16:35:56.536432
arpin-van-lines,Arpin Van Lines,http://www.arpin.com,1900,West Warwick,RI,us,02893,201-500,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government",,"Arpin Van Lines is a privately owned moving services company, a subsidiary of Arpin Group,  that specializes in U.S. domestic and worldwide moving and storage services, global information storage management services and environmental stewardship through its various subsidiaries.","Arpin Van Lines, headquartered in West Warwick, Rhode Island, provides household goods moving and storage services for corporate, government, military, and residential customers.",NA,,,[],,2014-09-23 14:24:52.653712
arrive-labs,Arrive Labs,http://home.downloadarrive.com,2011,San Francisco,CA,us,94110,1-10,Private,Transportation,Not reported by company,,,"Arrive Labs builds software solutions for urban transit solutions, that currently has created two apps - Arrive and TransitHero. Arrive is a multi-modal urban transit app for San Francisco providing information across all available modalities like train, bus, taxis, SideCar, ZipCar and our friends, Scoot Networks. 

<p>TransitHero, an app for the San Francisco Bay Area, delivers live real-time transit information for BART, MUNI, and AC Transit. It combines live, crowd sourced reports from our community of users, as well as our proprietary data set to give you intelligence on public transit in the city. You can become a TransitHero by reporting anything from a delay to a crowded train, rescuing transit riders from bad transit experiences before they get stuck.</p>",Arrive Labs builds software solutions for urban transit challenges.,NA,,,[],,2014-09-23 14:28:05.457184
asc-partners,ASC Partners,http://www.asc-partners.com,2010,Boston,MA,us,,1-10,partnership,Business & Legal Services,Not reported by company,Business to Business,,"ASC Partners offers business financial applications specific to small-to-medium size organizations in various industries. We provide extensive experience in technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions. We design cost-effective plans for customers to achieve ongoing productivity.","ASC helps companies improve their productivity through technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions.",NA,,,[],,2014-09-23 14:31:47.831746
asset4,Asset4,asset4.com,2003,New York,NY,us,10036,51-200,Private,Finance & Investment,Not reported by company,Business to Business,,"ASSET4 AG provides investment research information on economic, environmental, social, and governance (ESG) aspects of corporate performance. The company provides a database containing ESG information of publicly listed companies, countries, local authorities, state-owned companies, and supranational entities in a Web based architecture. It also provides equity-focused solutions and fixed income solutions for professional investors and corporate executives; extra-financial information for fixed income investments; and carbon data and estimates.","Asset4 provides objective, comparable and auditable extra-financial information.",101+,,,[],,2014-09-23 14:35:25.124901
atlas-van-lines,Atlas Van Lines,http://www.atlasvanlines.com,1948,Evansville,IN,us,47712,201-500,Private,Transportation,Customers,"Business to Business, Business to Consumer",,"Atlas Van Lines is a subsidiary of Atlas World Group, a family of companies headquartered in Evansville, Indiana. Atlas serves markets for global relocation, benefits, recruiting, logistics and travel, through a network of more than 500 Atlas Agents in the United States and Canada, and service partners operating in 140 countries around the world. A commitment to integrity, quality and solutions still guides the company, just as Atlas Agent-owners still set the policies that further service excellence.","Atlas World Group, Inc. is a family of companies delivering transportation and related services globally through a network of quality agents and select service partners.",1-10,,,[],"Atlas Van Lines, the flagship of Atlas World Group, is the second-largest carrier of household goods in the U.S. More than 500 Atlas Agents own and operate the equipment and warehouses required for providing the company's services.",2014-11-20 12:47:44.601144
atsite,AtSite,www.atsiteinc.com,1993,"Washington, D.C.",DC,us,20036,51-200,Private,Research & Consulting,,Business to Business,,"AtSite's open-source technology and building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets. Our experts enable executives and building management teams to reduce costs, mitigate risk and scale for greater efficiency.",AtSite's open-source technology and building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets,NA,Energy,,[],,2014-11-12 14:19:44.354408
aunt-bertha-inc,"Aunt Bertha, Inc.",auntbertha.com,2010,Austin,TX,us,78731,11-50,Private,Governance,"Software licensing, Subscriptions",Business to Consumer,,"At Aunt Bertha, Inc., we collect all federal, state, county, city, neighborhood, and charity program information and put it in one place. If it's based on need, then we collect it. Using information we learn about programs, and what we learn from the user, we intelligently match people with services that are designed specifically for their situation.",Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs.,11-50,,,[],,2014-11-12 15:04:03.136552
aureus-sciences-now-part-of-elsevier,Aureus Sciences (*Now part of Elsevier),http://www.aureus-sciences.com,2000,Philadelphia,PA,us,19103,11-50,Private,Scientific Research,Not reported by company,Business to Business,,"Aureus Science provides Knowledge Management Systems that are uniquely designed for drug discovery research. Aureus delivers life sciences information solutions that integrate structured knowledge databases with powerful search and insight applications to turn Turn Data into Discovery. 

<p>Aureus Science was acquired by Elsevier in January 2013. Elsevier is a provider of information solutions that enhance the performance of science, health, and technology professionals, empowering them to make better decisions, deliver better care, and sometimes make groundbreaking discoveries. Elsevier provides web-based, digital solutions — among them ScienceDirect, Scopus, Elsevier Research Intelligence, and ClinicalKey —  and publishes nearly 2,200 journals, including The Lancet and Cell, and over 25,000 book titles, including a number of iconic reference works.</p>

The company is part of Reed Elsevier Group PLC, a world leading provider of professional information solutions in the Science, Medical, Legal and Risk and Business sectors",Aureus Sciences provides databases and information tools for pharmaceutical and biotech companies.,NA,"Health/Healthcare, Science and Research",,[],,2014-09-23 14:45:29.872164
autogrid-systems,AutoGrid Systems,http://www.auto-grid.com,2011,Redwood Shores,CA,us,94065,11-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer, Business to Government",,"AutoGrid Systems is organizing the world's energy data by bringing Internet scale cloud-computing to process and analyze the petabytes of energy data produced from an increasingly networked and automated grid. AutoGrid then employs big data analytics to generate real-time predictions that creates actionable data for electricity generators, providers, grid operators, and their customers to improve the utilization of the grid and manage the cost to serve.",AutoGrid Systems is organizing the world's energy data by bringing cloud-computing to process and analyze data produced from an increasingly networked and automated grid.,NA,Weather,,[],,2014-11-12 14:46:26.030635
avalara,Avalara,http://www.avalara.com,2004,Bainbridge Island,WA,us,98110,"501-1,000",Private,Finance & Investment,Not reported by company,Business to Consumer,,"Avalara has created a web-based platform that provides a complete package of automated end to end compliance services. Avalara works within your own financial, billing, ecommerce, or point of sale system to automate sales and use tax and compliance. Once configured, you never again worry about ever-changing, impenetrable rates, rules, boundaries, exemptions, tax holidays, reporting requirements, filing deadlines, etc. Avalara combines technology with available statutory content to deliver fully automated sales tax compliance solutions.",Avalara combines technology with available statutory content to deliver fully automated sales tax compliance solutions.,101+,,,[],,2014-09-23 15:02:05.303908
avvo,Avvo,http://www.avvo.com,2006,Seattle,WA,us,98104,51-200,Private,Business & Legal Services,Not reported by company,Business to Consumer,,"Avvo.com is a legal marketplace for consumers and attorneys. In Avvo's Q&A forum, consumers can get free legal advice 24/7 from more than 160,000 participating lawyers, and Avvo's directory provides comprehensive profiles, client reviews, peer endorsements and the industry-recognized Avvo Rating for more than 97 percent of all lawyers in the U.S. Avvo also helps lawyers grow their business with Avvo Ignite, a cloud-based marketing platform and website solution designed specifically for attorneys.",Avvo.com is a legal marketplace for consumers and attorneys.,101+,,,[],,2014-09-23 15:04:49.378071
ayasdi,Ayasdi,http://www.ayasdi.com/,2008,Menlo Park,CA,us,94025,51-200,Private,Data/Technology,Not reported by company,Business to Business,,"Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data. Our approach combines advanced machine-learning with Topological Data Analysis (TDA) to automate how data scientists, domain experts, and business people achieve value from their data without the need to write code, queries, or ask questions. Ayasdi’s customers include General Electric, Citigroup, Merck, Anadarko, U.S. Food and Drug Administration (FDA), Centers for Disease Control and Prevention (CDC), the University of California San Francisco (UCSF), and Mount Sinai Hospital.","Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data.",NA,Health/Healthcare,,[],"Funded by Khosla Ventures, Institutional Venture Partners, GE Ventures, Citi Ventures, and FLOODGATE",2014-11-12 14:38:23.930010
azavea,Azavea,azavea.com,2000,Philadelphia,PA,us,19107,11-50,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions, Software Development Services, Open Source Software","Business to Business, Business to Government",,"Azavea is a certified B Corporation whose mission is to apply geospatial technology for positive civic and social impact while advancing the state-of-the-art through research. 

<p>Azavea was the original developer of the OpenDataPhilly.org community site and has released the source code as Open-Data-Catalog. Azavea is also the Open Data Institute (ODI) regional node for Philadelphia and operates the national Summer of Maps program that matches students with non-profit organizations with geospatial data challenges. Our work combines user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly. We also share much of our work by releasing it under open source licenses so that others can re-use it. These projects include OpenTreeMap, DistrictBuilder, GeoTrellis, and among others.</p>

<p>In addition to using open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others through creative new applications. Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.</p>",Azavea is a geospatial analysis (GIS) software development firm specializing in creating location-based web and mobile software as well as geospatial analysis services.,101+,,,[],"Azavea is a bootstrap company that does not have any external investors. The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing. While the firm was originally founded in Philadelphia, it now serves clients across the United States and around the world.",2014-11-12 14:38:14.900193
balefire-global,BaleFire Global,http://balefireglobal.com,2014,Raleigh,NC,us,27628,1-10,Private,Data/Technology,"Data analysis for clients, Database licensing, Open Data Portal Deployment",Business to Government,,"BaleFire Global provides training, civic engagement and client success to NGOs and governments around the world. As an Open Data Institute Node we provide open data thought leadership and strategy as well as implementation and custom design. Our goal is to build a citizen experience the leads to transparency and positive economic impact using your open government data.","BaleFire Global provides training, civic engagement and client success to NGOs and governments around the world.",101+,,,[],"The three LLC partners each pledged 20,000.00 as start-up money for the company. We primarily work with Socrata as the client services vendor but also consult with government organizations on open data strategy. Our projected revenue for 2014 is around 1.2 million.",2014-11-12 14:35:25.194636
barchart,Barchart,www.barchartmarketdata.com,1995,Chicago,IL,us,60606,51-200,Private,Data/Technology,"Advertising, Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business,,"Barchart.com is a full-service provider of futures, equity and foreign exchange market data. Barchart provides a wide range of market data products and solutions. As an established organization in an industry that demands accuracy and innovation, Barchart’s goal is to form partnerships that deliver comprehensive solutions for success, and has clients in the financial, agricultural, energy and media industries.","Barchart.com is a full-service provider of futures, equity and foreign exchange market data.",1-10,,,[u'New or improved product/service'],,2014-12-18 17:31:29.067471
be-informed,Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,2006,New York,NY,us,10022,51-200,Private,Data/Technology,Not provided by company,Business to Business,,"Be Informed is an internationally operating, independent software vendor. The Be Informed business process platform transforms administrative processes. Thanks to Be Informed’s unique semantic technology and solutions, business applications become completely model-driven, allowing organizations to instantly execute on new strategies and regulations.","Be Informed’s semantic technology and solutions makes business applications completely model-driven, allowing organizations to instantly execute on new strategies and regulations.",NA,,,[],,2014-11-12 14:36:13.923539
bekins,Bekins,http://www.bekins.com,1891,Indianapolis,IN,us,46250,51-200,Private,Transportation,Not reported by company,"Business to Business, Business to Government",,Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.,Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.,NA,,,[],,2014-10-20 11:22:49.477697
berkery-noyes-mandasoft,Berkery Noyes MandASoft,https://mandasoft.com/,2009,New York,NY,us,10006,1-10,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer",,"MandAsoft.com, provided by Berkery Noves, is an information service that provides mergers and acquisitions data via a hosted and searchable database. It is based on the Berkery Noyes Information Industry Weekly report, a resource for mergers and acquisitions data for many top executives of companies that have been shaping the future of information. Although anyone interested in M&A would find MandAsoft.com to be useful, this service is geared towards a C-level executive who wants to quickly find and review information industry transactions and companies with an eye toward finding a match for their own products and services.","MandAsoft.com, created by Berkery Noyes, is a simple, powerful information service that provides mergers and acquisitions data via a hosted, graphically enhanced and searchable database.",101+,,,[],,2014-11-12 14:20:08.386781
berkshire-hathaway,Berkshire Hathaway,http://www.berkshirehathaway.com,1998,Omaha,NE,us,,"5,001-10,000",Public,Finance & Investment,Not reported by company,,,"Berkshire Hathaway Inc. is a holding company owning subsidiaries engaged in a number of diverse business activities. The Company is engaged in the insurance businesses conducted on both a primary basis and a reinsurance basis, a freight rail transportation business and a group of utility, and energy generation and distribution businesses. Berkshire also owns and operates a number of other businesses engaged in a variety of activities.",Berkshire Hathaway Inc. is a multinational conglomerate holding company that oversees and manages a number of subsidiary companies.,101+,"Education, Finance",,[],,2014-09-23 15:41:26.481363
