Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
Morningside at Home Assisted Living Program,1000 Pelham Parkway South,Bronx,Bronx,10461,(718) 409-8266,(718) 904-6587,AF0713B,"Morningside Acquisition III, LLC",020-F-821,40,40,0,0,0,AH/ALP,PPHA,MARO,"1000 Pelham Parkway South
Bronx, NY 10461
(40.85679447100006, -73.85966974899998)"
New Fordham Arms Assisted Living,2915 Williamsbridge Road,Bronx,Bronx,10467,(718) 655-3433,(718) 654-4307,AF0248B,Bridgewood LLC,020-F-819,35,35,0,0,0,AH/ALP,PPHA,MARO,"2915 Williamsbridge Road
Bronx, NY 10467
(40.868339512000034, -73.86218577099999)"
Amber Court of Pelham Gardens,1800 Waring Avenue,Bronx,Bronx,10469,(718) 379-4400,(718) 320-2442,AF0285B,"Judith Lynn Home for Adults, LLC",020-F-817,200,169,0,0,0,AH/ALP,PPHA,MARO,"1800 Waring Avenue
Bronx, NY 10469
(40.86069653200008, -73.83397011199997)"
Claremont Village ALP,1160 Teller Avenue,Bronx,Bronx,10456,(718) 293-1500,(718) 931-9700,AF0720B,DOJ ALP Operations Associates LLC,020-F-135,70,70,0,0,0,AH/ALP,PPHA,MARO,"1160 Teller Avenue
Bronx, NY 10456
(40.83164914100007, -73.91193977499995)"
The W Assisted Living at Riverdale Home for Adults,6355 Broadway,Bronx,Bronx,10471,(718) 549-3300,(718) 601-0593,AF0370B,"Elener Associates, LLC",020-F-133,256,200,0,0,0,AH/ALP,PPHA,MARO,"6355 Broadway
Bronx, NY 10471
(40.90141378800007, -73.89683386899998)"
RiverSpring Assisted Living,5901 Palisades Avenue,Bronx,Bronx,10471,(718) 581-1780,(718) 601-8702,AF0706A,The Hebrew Home for the Aged at Riverdale,020-E-136,35,35,0,0,0,AH/ALP,NFP,MARO,"5901 Palisades Avenue
Bronx, NY 10471
(40.908549521000054, -73.90867567599997)"
Bronxwood,799 East Gun Hill Road,Bronx,Bronx,10467,(718) 881-9100,(718) 515-0150,AF0211A,"Bronxwood Home For The Aged, Inc.",020-E-004,320,177,0,0,0,AH/ALP,NFP,MARO,"799 East Gun Hill Road
Bronx, NY 10467
(40.87610370200008, -73.86236049799999)"
Parkview Home for Adults,3200 Bronx Boulevard,Bronx,Bronx,10467,(718) 547-9300,(718) 519-8378,AF0355B,"Parkview HFA, Inc.",020-F-131,134,0,0,0,0,AH,PPHA,MARO,"3200 Bronx Boulevard
Bronx, NY 10467
(40.871776820000036, -73.87045722499994)"
St. Louise Manor,861 Front Street,Broome,Binghamton,13905,(607) 724-4000,(607) 724-8300,AF0116C,UMH NY Corp.,030-E-052,52,24,0,0,0,AH/ALP,NFP,CNYRO,"861 Front Street
Binghamton, NY 13905
(42.13066156300005, -75.90592604799997)"
Metro Interfaith Housing,21 New Street,Broome,Binghamton,13903,(607) 772-6766,(607) 723-9602,AF0597A,Metro Interfaith Housing Management Corporation,030-S-046,11,0,0,0,0,EHP,NFP,CNYRO,"21 New Street
Binghamton, NY 13903
(42.090151766000076, -75.91112293999998)"
Hilltop Manor West,286 Deyo Hill Road,Broome,Johnson City,13790,(607) 798-7818,(607) 798-9382,AF0061B,UMH NY Corp.,030-E-008,98,26,72,72,36,AH/ALP,NFP,CNYRO,"286 Deyo Hill Road
Johnson City, NY 13790
(42.14441300800007, -75.95938207199998)"
The Hearth at Castle Gardens,1715 Castle Gardens Road,Broome,Vestal,13850,(607) 748-5700,(607) 748-1079,AF0021A,Hearth Management LLC,030-S-044,106,0,0,0,0,EHP,PPHA,CNYRO,"1715 Castle Gardens Road
Vestal, NY 13850
(42.078927315000044, -76.08152950099998)"
Metro Interfaith EHP,110 Chenango Place,Broome,Binghamton,13901,(607) 724-3774,(607) 724-9602,AF0082A,Metro Interfaith Housing Management,030-S-041,37,0,0,0,0,EHP,NFP,CNYRO,"110 Chenango Place
Binghamton, NY 13901
(42.101464167000074, -75.90892753799994)"
Elderwood Village at Vestal,505 Clubhouse Road,Broome,Vestal,13850,(607) 722-3422,(607) 722-5841,AF0137D,"505 Clubhouse Road Operating Company, LLC",030-F-060,116,0,0,0,0,AH,PPHA,CNYRO,"505 Clubhouse Road
Vestal, NY 13850
(42.08745262000008, -75.95106054399997)"
The Pavilion at Vestal,105 West Sheedy Road,Broome,Vestal,13850,(607) 754-4105,(607) 748-5689,AF0733A,"The Pavilion at Vestal, LLC",030-F-058,40,40,0,0,0,AH/ALP,PPHA,CNYRO,"105 West Sheedy Road
Vestal, NY 13850
(42.05265446200008, -76.03268985699998)"
Brookdale Vestal West,421 Plaza Drive,Broome,Vestal,13850,(607) 771-1700,(607) 771-0001,AF0697A,"Painted Post, LLC",030-F-056,65,0,65,65,65,AH,PPHA,CNYRO,"421 Plaza Drive
Vestal, NY 13850
(42.09003469600003, -75.95566333799997)"
Garden House For Adults,91 Walnut Street,Broome,Binghamton,13905,(607) 724-5763,(607) 724-5763,AF0044A,"Bawas, Imelda",030-F-038,24,0,0,0,0,AH,PPHA,CNYRO,"91 Walnut Street
Binghamton, NY 13905
(42.10147455300006, -75.92299209799995)"
Ideal Senior Living Center,600 High Avenue,Broome,Endicott,13760,(607) 786-7300,(607) 786-7496,AF0065A,Ideal Senior Living Housing Corporation,030-E-039,70,35,0,0,0,AH/ALP,NFP,CNYRO,"600 High Avenue
Endicott, NY 13760
(42.091605052000034, -76.06777898999997)"
Good Shepherd Village at Endwell,14 Village Drive,Broome,Endwell,13760,(607) 757-3100,(607) 757-3101,AF0672A,"Good Shepherd Village at Endwell, Inc.",030-E-050,32,0,32,32,16,AH,NFP,CNYRO,"14 Village Drive
Endwell, NY 13760
(42.148138507000056, -76.02125305699997)"
"Good Shepherd- Fairview Home, Inc.",80 Fairview Avenue,Broome,Binghamton,13904,(607) 724-2477,(607) 724-0957,AF0049A,"Good Shepherd-Fairview Home, Inc.",030-E-005,67,32,35,35,0,AH/ALP,NFP,CNYRO,"80 Fairview Avenue
Binghamton, NY 13904
(42.11053962700004, -75.87667271499998)"
Underwood Manor,"4460 Union Hill Road, R.D. #1",Cattaraugus,Hinsdale,14743,(716) 557-2322,(716) 557-2323,AF0569A,"Johnson, Ronald",040-F-024,32,32,0,0,0,AH/ALP,PPHA,WRO,"4460 Union Hill Road, R.D. #1
Hinsdale, NY 14743
(42.18885246800005, -78.35403695399998)"
Randolph Manor,40 East Main Street,Cattaraugus,Randolph,14772,(716) 358-4041,(716) 358-4041,AF0546A,"Randolph Manor Home for Adults, LLC",040-F-026,50,0,0,0,0,AH,PPHA,WRO,"40 East Main Street
Randolph, NY 14772
(42.16374396600003, -78.96917804499998)"
Eden Heights of Olean,161 South Twenty-Fifth Street,Cattaraugus,Olean,14760,(716) 372-4466,(716) 372-1681,AF0488A,"Eden Management of Olean, Inc.",040-F-028,120,0,0,0,0,AH,PPHA,WRO,"161 South Twenty-Fifth Street
Olean, NY 14760
(42.07419433900003, -78.45925200899995)"
Restmour Home for Adults,61 Seymour Street,Cayuga,Auburn,13021,(315) 253-7621,(315) 258-9187,AF0183B,"Delcorn Liberty, Inc.",050-F-020,24,0,0,0,0,AH,PPHA,CNYRO,"61 Seymour Street
Auburn, NY 13021
(42.937947449000035, -76.56326136699994)"
North Brook Heights Home for Adults,170 Murray Street Extension,Cayuga,Auburn,13021,(315) 253-2755,(315) 252-9970,AF0182B,"North Brook Heights Home for Adults, Inc.",050-F-022,178,92,0,0,0,AH/ALP,PPHA,CNYRO,"170 Murray Street Extension
Auburn, NY 13021
(42.947570056000075, -76.55502612599997)"
Evergreen Heights,8939 Oakland Street,Cayuga,Weedsport,13166,(315) 834-6142,(315) 834-8960,AF0158B,"Central New York Adult Homes, Inc.",050-E-010,60,0,0,0,0,AH,NFP,CNYRO,"8939 Oakland Street
Weedsport, NY 13166
(43.050778766000064, -76.57251450099994)"
Faatz-Crofut Home,46 Grant Avenue,Cayuga,Auburn,13021,(315) 253-6141,(315) 253-4862,AF0160A,Faatz-Crofut Home for the Elderly,050-E-006,53,0,0,0,0,AH,NFP,CNYRO,"46 Grant Avenue
Auburn, NY 13021
(42.93830745300005, -76.55574396199995)"
Westminster Manor,81 South Street,Cayuga,Auburn,13021,(315) 252-0507,(315) 258-3157,AF0190A,Cayuga-Syracuse Presbyterian Home for the Elderly,050-E-002,37,0,0,0,0,AH,NFP,CNYRO,"81 South Street
Auburn, NY 13021
(42.925259106000055, -76.56566879499997)"
Bergquist Memorial Assisted Living Residences,"4600 Route 60, P.O. Box 350",Chautauqua,Gerry,14740,(716) 985-4612,(716) 985-4197,AF0448A,Gerry Homes,060-E-036,32,0,32,0,0,AH,NFP,WRO,"4600 Route 60, P.O. Box 350
Gerry, NY 14740
(42.195492486000035, -79.25131177099996)"
Fredonia Place,50 Howard Street,Chautauqua,Fredonia,14063,(716) 679-2250,(716) 679-2259,AF0606A,"Water/Howard Associates, LLC",060-S-003,84,0,84,15,24,EHP,PPHA,WRO,"50 Howard Street
Fredonia, NY 14063
(42.43236097100004, -79.32621241199996)"
Brookdale Lakewood,220 Southwestern Drive,Chautauqua,Lakewood,14750,(716) 665-2414,(716) 665-2978,AF0525A,"Painted Post Properties, Inc.",060-S-001,100,0,0,0,0,EHP,PPHA,WRO,"220 Southwestern Drive
Lakewood, NY 14750
(42.09439419300003, -79.29509556599999)"
Memory Garden,560 Fairmount Avenue,Chautauqua,Jamestown,14701,(716) 483-2876,(716) 483-2832,AF0687B,"Memory Garden at Tanglewood, Inc.",060-F-040,56,56,56,0,56,AH/ALP,PPHA,WRO,"560 Fairmount Avenue
Jamestown, NY 14701
(42.09712152900005, -79.27222039099996)"
"Tanglewood Manor, Inc.",560 Fairmount Avenue,Chautauqua,Jamestown,14701,(716) 483-2876,(716) 483-2832,AF0564B,"Tanglewood Manor, Inc.",060-F-036,158,158,158,0,36,AH/ALP,PPHA,WRO,"560 Fairmount Avenue
Jamestown, NY 14701
(42.09712152900005, -79.27222039099996)"
Frewsburg Rest Home,106 West Main Street,Chautauqua,Frewsburg,14738,(716) 483-2876,(716) 483-2832,AF0497B,"Frewsburg Rest Home, Inc.",060-F-035,81,81,0,0,0,AH/ALP,PPHA,WRO,"106 West Main Street
Frewsburg, NY 14738
(42.052695483000036, -79.16538149999997)"
St. Columban's on the Lake,"2546 Lake Road, Route 5",Chautauqua,Silver Creek,14136,(716) 934-4515,(716) 934-3919,AF0555A,"St Columban's on the Lake, Home for Well-Aged Inc.",060-E-008,57,0,0,0,0,AH,NFP,WRO,"2546 Lake Road, Route 5
Silver Creek, NY 14136
(42.53298388300004, -79.23269974499993)"
Southern Tier Meadows,4883 West Main Road,Chautauqua,Fredonia,14063,(716) 679-4883,(716) 679-4881,AF0520B,"Southern Tier Environments for Living, Inc.",060-E-038,24,0,0,0,0,AH,NFP,WRO,"4883 West Main Road
Fredonia, NY 14063
(42.41917530100005, -79.37891057799999)"
Hultquist Place,715 Falconer Street,Chautauqua,Jamestown,14701,(716) 665-8128,,AF0646A,"Lutheran Housing Realty, Inc.",060-E-015,96,96,0,0,0,AH/ALP,NFP,WRO,"715 Falconer Street
Jamestown, NY 14701
(42.114444787000025, -79.20898758299995)"
The Women's Christian Association,134 Temple Street,Chautauqua,Fredonia,14063,(716) 672-7961,(716) 672-3496,AF0582A,The Women's Christian Association,060-E-014,42,32,0,0,0,AH/ALP,NFP,WRO,"134 Temple Street
Fredonia, NY 14063
(42.444110453000064, -79.33702776799998)"
Orchard Grove Residences,2000 Southwestern Drive W. E.,Chautauqua,Jamestown,14701,(716) 338-1600,(716) 985-6690,AF0698A,"The Gerry Homes, Inc.",060-E-040,36,30,0,0,0,AH/ALP,NFP,WRO,"2000 Southwestern Drive W. E.
Jamestown, NY 14701
(42.087042000000054, -79.29497094199996)"
Bethany Village,3005 Watkins Road,Chemung,Horseheads,14845,(607) 739-8711,(607) 796-2566,AF0450A,"Bethany Retirement Home, Inc.",070-E-002,144,60,144,70,30,AH/ALP,NFP,WRO,"3005 Watkins Road
Horseheads, NY 14845
(42.185554757000034, -76.83335171799996)"
Woodbrook,1250 Maple Avenue,Chemung,Elmira,14904,(607) 734-7741,(607) 734-5636,AF0583A,"Woodbrook Assisted Living, Inc.",070-E-011,80,0,80,0,0,AH,NFP,WRO,"1250 Maple Avenue
Elmira, NY 14904
(42.068005526000036, -76.78634572999994)"
Bida Adult Home,4 Washington Park Rd,Chenango,Oxford,13830,(607) 843-6769,(607) 843-6874,AF0017A,"Lyons, William J.",080-F-010,28,0,0,0,0,AH,PPHA,CNYRO,"4 Washington Park Rd
Oxford, NY 13830
(42.440068136000036, -75.59131817199994)"
Chenango Valley Home,24 Canasawacta Street,Chenango,Norwich,13815,(607) 334-6598,(607) 336-6625,AF0026A,"The Chenango Valley Home, Inc.",080-E-002,32,0,0,0,0,AH,NFP,CNYRO,"24 Canasawacta Street
Norwich, NY 13815
(42.531687429000044, -75.53078497599995)"
Chenango County Home Preston Manor,"1150 County Road 4  RFD #2, Box 203",Chenango,Oxford,13830,(607) 334-9428,(607) 334-8299,AF0024A,Chenango County D.S.S.,080-N-007,48,0,0,0,0,AH,PUBL,CNYRO,"1150 County Road 4 RFD #2, Box 203
Oxford, NY 13830
(42.52439171100008, -75.61485545699998)"
Pine Harbour,15 New Hampshire Street,Clinton,Plattsburgh,12903,(518) 561-5307,(518) 561-5377,AF0652A,"Pine Harbour, Inc.",090-S-001,66,0,0,0,0,EHP,NFP,CDRO,"15 New Hampshire Street
Plattsburgh, NY 12903
(44.67641950600006, -73.44445805999999)"
Valehaven Home for Adults,"2989 North Main Street, Box 683",Clinton,Peru,12972,(518) 643-2740,(518) 643-0923,AF0006A,"Kane, James E.",090-F-003,40,30,0,0,0,AH/ALP,PPHA,CDRO,"2989 North Main Street, Box 683
Peru, NY 12972
(44.58009452300007, -73.52713569999997)"
Samuel F. Vilas Home,61 Beekman Street,Clinton,Plattsburgh,12901,(518) 563-4960,(518) 563-5406,AF0106A,Samuel F. Vilas Home,090-E-002,44,0,0,0,0,AH,NFP,CDRO,"61 Beekman Street
Plattsburgh, NY 12901
(44.69903161900004, -73.46653713299997)"
Whittier Place,30 Whittier Way,Columbia,Ghent,12075,(518) 828-0900,(518) 828-1201,AF0050B,"Hudson Valley Care Center, Inc.",200-E-005,80,40,0,0,0,AH/ALP,NFP,CDRO,"30 Whittier Way
Ghent, NY 12075
(42.282020544000034, -73.70570670399997)"
"Camphill Ghent, Inc.",2542 Route 66,Columbia,Chatham,12037,(518) 721-8400,(518) 721-1859,AF0693A,"Camphill Ghent, Inc.",200-E-007,31,18,0,0,0,AH/ALP,NFP,CDRO,"2542 Route 66
Chatham, NY 12037
(42.342613346000064, -73.60854301599994)"
Elizabeth Brewster House,41 South Main Street,Cortland,Homer,13077,(607) 749-3061,(607) 749-5862,AF0039A,Elizabeth Brewster House,210-E-001,45,0,0,0,0,AH,NFP,CNYRO,"41 South Main Street
Homer, NY 13077
(42.63537846300005, -76.17868216399995)"
Walden Place,839 Bennie Rd.,Cortland,Cortland,13045,(607) 756-8101,(607) 756-2357,AF0585B,"SL Walden, LLC",210-F-030,86,0,86,86,20,AH,PPHA,CNYRO,"839 Bennie Rd.
Cortland, NY 13045
(42.56484048300007, -76.21958865999994)"
Cedarwood Senior Living,46 Cortland Street,Cortland,Homer,13077,(607) 213-3705,(607) 821-3534,AF0051B,"Cedarwood Homer Community, LLC",210-F-032,37,0,0,0,0,AH,PPHA,CNYRO,"46 Cortland Street
Homer, NY 13077
(42.63230590000006, -76.18277590699995)"
The Pavilion at Robinson Terrace,One Buntline Drive,Delaware,Stamford,12167,(607) 652-2960,(607) 652-2962,AF0690B,"RTACF, LLC",220-F-032,60,39,0,0,0,AH/ALP,PPHA,CDRO,"One Buntline Drive
Stamford, NY 12167
(42.403548528000044, -74.62029483799995)"
Crystal House Manor,"97 Mills Street, P.O. Box 576",Dutchess,Dover Plains,12522,(845) 877-6400,(845) 877-6500,AF0633A,"Crsytal House Manor, Inc.",230-F-272,39,0,0,0,0,AH,PPHA,MARO,"97 Mills Street, P.O. Box 576
Dover Plains, NY 12522
(41.741938024000035, -73.57173707399994)"
The Landing of Poughkeepsie,251 Boardman Road,Dutchess,Poughkeepsie,12603,(845) 471-4044,(845) 462-1329,AF0727B,"Landing Senior Care, LLC",230-S-005,121,0,121,44,34,EHP,PPHA,MARO,"251 Boardman Road
Poughkeepsie, NY 12603
(41.65830003700006, -73.89040575199994)"
The Terraces at Brookmeade,54 Brookmeade Drive,Dutchess,Rhinebeck,12572,(845) 876-5522,(845) 871-1391,AF0669A,"Brookview, Inc.",230-S-001,29,0,29,29,0,EHP,NFP,MARO,"54 Brookmeade Drive
Rhinebeck, NY 12572
(41.92701223000006, -73.89353008699999)"
The McClelland  Home for Adults,126 Old Castle Point Road,Dutchess,Wappinger Falls,12590,(845) 831-1909,(845) 831-1846,AF0307B,Evergreen Home for Adults Inc.,230-F-276,70,0,0,0,0,AH,PPHA,MARO,"126 Old Castle Point Road
Wappinger Falls, NY 12590
(41.53871839900006, -73.96401520499995)"
"Hedgewood ALP, LLC",355 Fishkill Avenue,Dutchess,Beacon,12508,(845) 831-6000,(845) 831-4810,AF0263B,"Hedgewood Home for Adults, LLC",230-F-082,192,192,0,0,0,AH/ALP,PPHA,MARO,"355 Fishkill Avenue
Beacon, NY 12508
(41.50800625000005, -73.95580475599996)"
Green Briar Adult Home,26 Old Route 82,Dutchess,Millbrook,12545,(845) 677-9997,(845) 677-6278,AF0256B,"Green Briar Adult Home, LLC",230-F-072,53,0,0,0,0,AH,PPHA,MARO,"26 Old Route 82
Millbrook, NY 12545
(41.77222125000003, -73.70014390499995)"
The Avalon Assisted Living and Wellness Center,1629 Route 376,Dutchess,Wappingers Falls,12590,(845) 463-0500,(845) 463-2159,AF0415A,"Reckess, Azzy & Paula",230-F-068,76,66,0,0,0,AH/ALP,PPHA,MARO,"1629 Route 376
Wappingers Falls, NY 12590
(41.62778910000003, -73.87561175099995)"
The Inn at Millbrook,560 Flint Road,Dutchess,Millbrook,12545,(845) 677-8550,(845) 677-8630,AF0420A,"The Fountains Operating Company (NY), Inc.",230-F-066,40,0,40,40,0,AH,PPHA,MARO,"560 Flint Road
Millbrook, NY 12545
(41.73821355600006, -73.66432467699997)"
Dutchess Care,186 Washington Street,Dutchess,Poughkeepsie,12601,(845) 471-7930,(845) 473-8189,AF0239A,Azzy Reckess DBA Dutchess Care,230-F-044,92,88,0,0,0,AH/ALP,PPHA,MARO,"186 Washington Street
Poughkeepsie, NY 12601
(41.71446653700008, -73.92953732899997)"
Vassar-Warner Home,52 South Hamilton Street,Dutchess,Poughkeepsie,12601,(845) 454-3754,(845) 454-6967,AF0430A,Vassar-Warner Home,230-E-014,58,15,0,0,0,AH/ALP,NFP,MARO,"52 South Hamilton Street
Poughkeepsie, NY 12601
(41.69929360800006, -73.92494196899997)"
Morningside Manor,135 Fishkill Cooper Road Box 172,Dutchess,Fishkill,12524,(845) 896-9171,(845) 896-2456,AF0321A,Adoracion Elevado,230-F-058,20,0,0,0,0,AH,PPHA,MARO,"135 Fishkill Cooper Road Box 172
Fishkill, NY 12524
(41.55932457600005, -73.89789708799998)"
"Hyde Park Assisted Living Facility, Inc.",394 Violet Avenue,Dutchess,Poughkeepsie,12601,(845) 204-9572,(845) 204-9575,AF0744A,"Hyde Park Assisted Living Facility, Inc.",230-F-282,78,57,0,0,0,AH/ALP,PPHA,MARO,"394 Violet Avenue
Poughkeepsie, NY 12601
(41.73909355400008, -73.90956443499994)"
Elderwood Village at Williamsville,5271 Main Street,Erie,Williamsville,14221,(716) 565-9663,(716) 565-2331,AF0500B,"5271 Main Street Operating Company, LLC",240-S-115,110,0,110,19,0,EHP,PPHA,WRO,"5271 Main Street
Williamsville, NY 14221
(42.960871670000074, -78.75676615199995)"
Mary Agnes Manor ALP,307 Porter Avenue,Erie,Buffalo,14201,(716) 881-0565,(716) 881-0582,AF0532B,"Mary Agnes Manor, LLC",240-F-868,230,61,230,0,96,AH/ALP,PPHA,WRO,"307 Porter Avenue
Buffalo, NY 14201
(42.90191915500003, -78.89089268399994)"
Elderwood Village at St. Gregory Court,111 Saint Gregory Court,Erie,Williamsville,14221,(716) 689-2394,(716) 689-2763,AF0447D,"111 Saint Gregory Court Operating Company, LLC",240-F-896,80,0,0,0,0,AH,PPHA,WRO,"111 Saint Gregory Court
Williamsville, NY 14221
(42.994024281000065, -78.72725151899994)"
Elderwood Village at Bassett Park,245 Bassett Road,Erie,Williamsville,14221,(716) 688-4011,(716) 688-2733,AF0446D,"245 Bassett Road Operating Company, LLC",240-F-898,105,0,105,0,22,AH,PPHA,WRO,"245 Bassett Road
Williamsville, NY 14221
(42.99679054600006, -78.72845107699999)"
Eden Heights,4071 Hardt Road,Erie,Eden,14057,(716) 992-4466,(716) 992-9078,AF0487B,"Eden Heights of Eden Operating, LLC",240-F-900,120,0,120,0,0,AH,PPHA,WRO,"4071 Hardt Road
Eden, NY 14057
(42.66671953300005, -78.83316092799998)"
Symphony Manor at Lancaster,5539 Broadway,Erie,Lancaster,14086,(716) 683-5150,(716) 683-4049,AF0556C,"Symphony Manor, LLC",240-F-902,117,0,0,0,0,AH,PPHA,WRO,"5539 Broadway
Lancaster, NY 14086
(42.89848129400008, -78.66393131599995)"
Ken-Ton Presbyterian Village EHP,3735 Delaware Avenue,Erie,Kenmore,14217,(716) 874-6070,(716) 874-1455,AF0544A,Presbyterian Homes Of Western New York,240-S-089,49,0,0,0,0,EHP,NFP,WRO,"3735 Delaware Avenue
Kenmore, NY 14217
(42.98577362800006, -78.87297445799999)"
Greenfield Court,5951 Broadway,Erie,Lancaster,14086,(716) 684-8400,(716) 684-8480,AF0507A,Lutheran Church Home at Greenfield Inc.,240-S-105,57,0,57,0,0,EHP,NFP,WRO,"5951 Broadway
Lancaster, NY 14086
(42.89492771600004, -78.63177605599998)"
Canterbury Woods,725 Renaissance Drive,Erie,Williamsville,14221,(716) 929-5150,(716) 929-5812,AF0462A,"Episcopal Church Home & Affiliates Life Care Community, Inc.",240-S-106,32,0,32,32,12,EHP,NFP,WRO,"725 Renaissance Drive
Williamsville, NY 14221
(42.99610897700006, -78.69871281199994)"
