Accused Witch, Residence ,Month of Accusation,Month of Execution,Sort
"Hutchins, Frances", Haverhill ,8,,82
"Ireson, Mary", Lynn ,6,,83
"Jackson, John Jr.", Rowley ,8,,84
"Jackson, John Sr.", Rowley ,8,,85
"Jacobs, George Jr.", Salem Village ,5,,86
"Jacobs, George Sr.", Salem Town ,5,8,87
"Jacobs, Margaret", Salem Town ,5,,88
"Jacobs, Rebecca", Salem Village ,5,,89
"Johnson, Abigail", Andover ,8,,90
"Johnson, Elizabeth Jr.", Andover ,8,,91
"Johnson, Elizabeth Sr.", Andover ,8,,92
"Johnson, Rebecca Jr.", Andover ,9,,93
"Johnson, Rebecca Sr.", Andover ,9,,94
"Johnson, Stephen", Andover ,9,,95
"Lacey, Mary Jr.", Andover ,7,,96
"Lacey, Mary Sr.", Andover ,7,,97
"Lilly, Jane", Reading ,9,,98
"Marston, Mary", Andover ,8,,99
"Martin, Susannah", Amesbury ,4,7,100
"Morey, Sarah", Beverly ,4,,101
"Nurse, Rebecca", Salem Village ,3,7,102
"Osborne, Sarah", Salem Village ,2,,103
"Osgood, Mary", Andover ,9,,104
"Paine, Elizabeth", Charlestown ,5,,105
"Parker, Alice", Salem Town ,5,9,106
"Parker, Mary", Andover ,9,9,107
"Parker, Sarah", Andover ,-1,,108
"Pease, Sarah", Salem Town ,5,,109
"Penney, Joan", Gloucester ,9,,110
"Post, Hannah", Boxford ,8,,111
"Post, Mary", Rowley ,8,,112
"Post, Susannah", Andover ,8,,113
"Prince, Margaret", Gloucester ,9,,114
"Proctor, Benjamin", Salem Town ,5,,115
"Proctor, Elizabeth", Salem Town ,4,,116
"Proctor, John", Salem Town ,4,8,117
"Proctor, Sarah", Salem Town ,5,,118
"Proctor, William", Salem Town ,5,,119
"Pudeator, Ann", Salem Town ,5,9,120
"Redd, Wilmott", Marblehead ,5,9,121
"Rice, Sarah", Reading ,5,,122
"Roots, Susannah", Beverly ,5,,123
"Row, Abigail", Gloucester ,11,,124
"Row, Mary", Gloucester ,-1,,125
"Salter, Henry", Andover ,9,,126
"Sawdy, John", Andover ,-1,,127
"Scott, Margaret", Rowley ,8,9,128
"Sears, Ann", Woburn ,5,,129
"Somes, Abigail", Salem Town ,5,,130
"Sparks, Martha", Chelmsford ,-1,,131
"Taylor, Mary", Reading ,9,,132
Tituba Indian, Salem Village ,2,,133
"Tookey, Job", Beverly ,6,,134
"Toothaker, Margaret", Billerica ,5,,135
"Toothaker, Mary", Billerica ,5,,136
"Toothaker, Roger", Billerica ,5,,137
"Tyler, Hannah", Andover ,9,,138
"Tyler, Johanna", Andover ,9,,139
"Tyler, Martha", Andover ,9,,140
"Tyler, Mary", Andover ,9,,141
"Vincent, Rachel", Gloucester ,-1,,142
"Wardwell, Mercy", Andover ,9,,143
"Wardwell, Samuel", Andover ,9,9,144
"Wardwell, Sarah", Andover ,9,,145
"Warren, Mary", Salem Town ,4,,146
"Whittredge, Mary", Salem Village ,5,,147
"Wilds, Sarah", Topsfield ,4,7,148
"Wilford, Ruth", Haverhill ,8,,149
"Willard, John", Salem Village ,5,8,150
"Wilson, Sarah Jr.", Andover ,9,,151
"Wilson, Sarah Sr.", Andover ,9,,152
