,AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
17,20,Blind - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
20,23,Blind - Long Term Care (LTC) Medically Needy (MN) ,Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
21,24,Blind - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
22,26,Blind - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,0,42 CFR 435.135
23,27,Blind - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
24,28,Blind - In Home Support Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
25,30,CalWORKS - All Families,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
27,32,Temporary Assistance to Needy Families (TANF) - Timed Out,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
28,33,CalWORKS - Zero Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
29,34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
30,34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
31,34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
32,34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,0,42 CFR 435.310
33,35,CalWORKS - Two Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
34,36,Aid to Disabled Widow(ers),Full Scope (No SOC),Disabled Widows and Widowers Ineligible for SSI due to Increase in OASDI,"Disabled widows and widowers who would be eligible for SSI/SSP, except for the increase in OASDI benefits due to the elimiN/Ation of the reduction factor in P.L. 98-21, who therefore are deemed to be SSI or SSP recipients.",19,ABD,Mandatory  ,Medicaid,1634(b),42 CFR 435.137
35,37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
36,37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
37,37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
38,37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,0,42 CFR 435.310
39,38,Edwards v. Kizer Discontinued Aid to Families with Dependent Children (AFDC) - Pending Eligibility Determination,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
40,38,Edwards v. Kizer Discontinued Aid to Families with Dependent Children (AFDC) - Pending Eligibility Determination,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
41,39,Initial 6 Months - Transitional Medi-Cal (TMC),Full Scope (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),0
42,40,Aid to Families with Dependent Children (AFDC) - State Foster Care ,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
44,42,Aid to Families with Dependent Children (AFDC) - Federal Foster Care ,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
45,43,Aid to Families with Dependent Children (AFDC) - State Extended Foster Care,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
46,44,Pregnant - 0% to 200% Federal Poverty Level (FPL) Property Disregard,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
47,45,Non Aid to Families with Dependent Children (AFDC) Foster Care,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
48,46,Foster Care California Placement - Interstate Compact on the Placement of Children (ICPC),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
49,47,Infants - Ages 0 to 1 - 0% to 200% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
50,48,Pregnant - 0% to 200% Federal Poverty Level (FPL) Property Disregard,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
51,49,Title IV-E Extended Foster Care - Aid to Families with Dependent Children (AFDC) Non Minor Dependent (NMD),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
54,54,Four-Month Continuing Medi-Cal,Full Scope (No SOC),Extended Medicaid due to Spousal Support Collections,Families with Medicaid eligibility extended for 4 months as the result of the collection of spousal support.,4,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(B); 1931(c)(1),42 CFR 435.115
55,55,Long Term Care (LTC),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
56,58,Omnibus Budget Reconciliation Act (OBRA) Individuals ,Restricted or Limited (SOC/No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
57,59,Transitional Medi-Cal (TMC) - Additional  6 Months,Full Scope (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),0
58,60,Disabled - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
61,63,Disabled - Long Term Care (LTC),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
62,64,Disabled - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
63,66,Disabled - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,0,42 CFR 435.135
64,67,Disabled - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
65,68,Disabled - In Home Support Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
66,69,Infants - Ages 0 to 1 - 0% to 200% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
68,72,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
70,74,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
71,76,60-Day Post-partum Program,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
73,80,Qualified Medicare Beneficiary (QMB),No Medi-Cal Benefits,Qualified Medicare Beneficiaries,"Individuals with income equal to or less than 100% of the FPL who are entitled to Medicare Part A, who qualify for Medicare cost sharing.",23,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(i); and 1905(p),0
75,82,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
76,82,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
77,83,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
78,83,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
81,86,Pregnancy Confirmed - Age Over 21 - Medically Indigent (MI),Full Scope (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
82,87,Pregnancy Confirmed - Age Over 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
86,0D,Pregnant - Modified Adjusted Gross Income (MAGI) 213% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP),Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
87,0E,Pregnant - Modified Adjusted Gross Income (MAGI) 213% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) - Medi-Cal Managed Care,Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
89,0G,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 213% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP),Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
91,0L,Breast and Cervical Cancer Treatment Program (BCCTP) Transitional,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
92,0M,Breast and Cervical Cancer Treatment Program (BCCTP) -Accelerated Enrollment (AE) - 2 months,Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
93,0N,Breast and Cervical Cancer Treatment Program (BCCTP) -Accelerated Enrollment (AE),Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
94,0P,Breast and Cervical Cancer Treatment Program (BCCTP),Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
97,0U,Breast and Cervical Cancer Treatment Program (BCCTP),Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
98,0V,Post Breast and Cervical Cancer Treatment Program (BCCTP),Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
99,0W,Breast and Cervical Cancer Treatment Program (BCCTP) - Transitional,Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
100,0X,Breast and Cervical Cancer Treatment Program (BCCTP) - Transitional,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
101,0Y,Breast and Cervical Cancer Treatment Program (BCCTP) Transitional - Age Over 65 ,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
103,1E,Aged - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
105,1H,Aged - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
106,1U,Aged - Federal Poverty Level (FPL) Program ,Restricted or Limited (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
108,1X,Aged - Multipurpose Senior Services Program (MSSP) Institutional Deeming/Spousal Impoverishment,Full Scope (No SOC),Individuals Eligible for Home and Community Based Services - Special Income Level,"Individuals with income equal to or below 300% of the SSI federal benefit rate, who meet the eligibility requirements for a waiver approved for the State under 1915(c.), (d.), or (e.), or 1115.",52,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXII); 1915(i),0
109,1Y,Aged - Multipurpose Senior Services Program (MSSP) Institutional Deeming/Spousal Impoverishment,Full Scope (SOC),Individuals Eligible for Home and Community Based Services - Special Income Level,"Individuals with income equal to or below 300% of the SSI federal benefit rate, who meet the eligibility requirements for a waiver approved for the State under 1915(c.), (d.), or (e.), or 1115.",52,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXII); 1915(i),0
110,2A,Abandoned Baby Program,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
111,2C,County Children's Health Initiative Program (C-CHIP),Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
112,2E,Blind - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
114,2H,Blind - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
