AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
28,Blind - In Home Support Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
30,CalWORKS - All Families,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
31,"CalWORKS - Family Group, Social Services Only",No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
32,Temporary Assistance to Needy Families (TANF) - Timed Out,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
33,CalWORKS - Zero Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
34,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (No SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,N/A,42 CFR 435.310
35,CalWORKS - Two Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
36,Aid to Disabled Widow(ers),Full Scope (No SOC),Disabled Widows and Widowers Ineligible for SSI due to Increase in OASDI,"Disabled widows and widowers who would be eligible for SSI/SSP, except for the increase in OASDI benefits due to the elimiN/Ation of the reduction factor in P.L. 98-21, who therefore are deemed to be SSI or SSP recipients.",19,ABD,Mandatory  ,Medicaid,1634(b),42 CFR 435.137
37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
37,Aid to Families with Dependent Children (AFDC) - Medically Needy (MN),Full Scope (SOC),Medically Needy Parents and Other Caretakers,"Parents and other caretaker relatives of dependent children, eligible as categorically needy except for income.",56,Family/Adult,Medically Needy  ,Medicaid,N/A,42 CFR 435.310
38,Edwards v. Kizer Discontinued Aid to Families with Dependent Children (AFDC) - Pending Eligibility Determination,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
38,Edwards v. Kizer Discontinued Aid to Families with Dependent Children (AFDC) - Pending Eligibility Determination,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
39,Initial 6 Months - Transitional Medi-Cal (TMC),Full Scope (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),N/A
40,Aid to Families with Dependent Children (AFDC) - State Foster Care ,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
41,Aid to Families with Dependent Children (AFDC) - State Foster Care Social Services Only,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
42,Aid to Families with Dependent Children (AFDC) - Federal Foster Care ,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
43,Aid to Families with Dependent Children (AFDC) - State Extended Foster Care,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
44,Pregnant - 0% to 200% Federal Poverty Level (FPL) Property Disregard,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
45,Non Aid to Families with Dependent Children (AFDC) Foster Care,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
46,Foster Care California Placement - Interstate Compact on the Placement of Children (ICPC),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
47,Infants - Ages 0 to 1 - 0% to 200% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
48,Pregnant - 0% to 200% Federal Poverty Level (FPL) Property Disregard,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
49,Title IV-E Extended Foster Care - Aid to Families with Dependent Children (AFDC) Non Minor Dependent (NMD),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
50,County Medical Services Program (CMSP) - Omnibus Budget Reconciliation Act (OBRA)/Out-of-County Care,Restricted or Limited (SOC/No SOC),County - Medical Services Program (CMSP) - Omnibus Budget Reconciliation Act (OBRA)/Out-of-County Care,County - Medical Services Program (CMSP) - Omnibus Budget Reconciliation Act (OBRA)/Out-of-County Care,-,N/A,N/A,N/A,N/A,N/A
53,Medically Indigent (MI) - Long Term Care (LTC),Restricted or Limited (SOC/No SOC),State - Medically Indigent (MI) Long Term Care (LTC),State - Medically Indigent (MI) Long Term Care (LTC),-,N/A,N/A,N/A,N/A,N/A
54,Four-Month Continuing Medi-Cal,Full Scope (No SOC),Extended Medicaid due to Spousal Support Collections,Families with Medicaid eligibility extended for 4 months as the result of the collection of spousal support.,4,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(B); 1931(c)(1),42 CFR 435.115
55,Long Term Care (LTC),Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
58,Omnibus Budget Reconciliation Act (OBRA) Individuals ,Restricted or Limited (SOC/No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
59,Transitional Medi-Cal (TMC) - Additional  6 Months,Full Scope (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),N/A
60,Disabled - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
61,Disabled - Social Services Only,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
62,Disabled - Special Circumstance,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
63,Disabled - Long Term Care (LTC),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
64,Disabled - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
66,Disabled - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,N/A,42 CFR 435.135
67,Disabled - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
68,Disabled - In Home Support Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
69,Infants - Ages 0 to 1 - 0% to 200% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
71,Dialysis Special Treatment Program,Restricted or Limited (SOC/No SOC),State - Dialysis Special Treatment Program,State - Dialysis Special Treatment Program,-,N/A,N/A,N/A,N/A,N/A
72,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
73,Total Parenteral Nutrition (TPN) Special Treatment Program ,Restricted or Limited (SOC/No SOC),State - Total Parenteral Nutrition (TPN) Special Treatment Program,State - Total Parenteral Nutrition (TPN) Special Treatment Program,-,N/A,N/A,N/A,N/A,N/A
74,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
76,60-Day Post-partum Program,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
77,Organ Transplants - Anti-Rejection Medication,Restricted or Limited (No SOC),State - Organ Transplants - Anti-Rejection Medication,State - Organ Transplants - Anti-Rejection Medication,-,N/A,N/A,N/A,N/A,N/A
80,Qualified Medicare Beneficiary (QMB),No Medi-Cal Benefits,Qualified Medicare Beneficiaries,"Individuals with income equal to or less than 100% of the FPL who are entitled to Medicare Part A, who qualify for Medicare cost sharing.",23,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(i); and 1905(p),N/A
81,Adults - Medically Indigent (MI),Full Scope (SOC/No SOC),State - Adult - Medically Indigent (MI),State - Adult - Medically Indigent (MI),-,N/A,N/A,N/A,N/A,N/A
82,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
82,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
83,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
83,Age Under 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
84,Adults - Ages 21 to 65 - Medically Indigent (MI),Full Scope (No SOC),County - Adult Ages 21 to 65 - Medically Indigent (MI),County - Adult Ages 21 to 65 - Medically Indigent (MI),-,N/A,N/A,N/A,N/A,N/A
85,Adults - Ages 21 to 65 - Medically Indigent (MI),Full Scope (SOC),County - Adult Ages 21 to 65 - Medically Indigent (MI),County - Adult Ages 21 to 65 - Medically Indigent (MI),-,N/A,N/A,N/A,N/A,N/A
86,Pregnancy Confirmed - Age Over 21 - Medically Indigent (MI),Full Scope (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
87,Pregnancy Confirmed - Age Over 21 - Medically Indigent (MI),Full Scope (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
88,Adults - Disability Pending Medically Indigent (MI),Full Scope (No SOC),County - Adults - Disability Pending Medically Indigent (MI),County - Adults - Disability Pending Medically Indigent (MI),-,N/A,N/A,N/A,N/A,N/A
89,Adults - Disability Pending Medically Indigent (MI),Full Scope (SOC),County - Adults - Disability Pending Medically Indigent (MI),County - Adults - Disability Pending Medically Indigent (MI),-,N/A,N/A,N/A,N/A,N/A
0A,Refugee Cash Assistance (RCA),Full Scope (No SOC),N/A - do not report,Refugee Cash Assistance (RCA),-,N/A,N/A,N/A,N/A,N/A
0D,Pregnant - Modified Adjusted Gross Income (MAGI) 213% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP),Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
0E,Pregnant - Modified Adjusted Gross Income (MAGI) 213% to 322% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP) - Medi-Cal Managed Care,Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
0F,Transitional CalFresh,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
0G,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 213% Federal Poverty Level (FPL) - Medi-Cal Access Program (MCAP),Full Scope (No SOC),Coverage from Conception to Birth,Uninsured children from conception to birth who do not have access to public employee coverage and whose household income is within the standards established by the state.,64,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
0H,Supplemental Security Income/State Supplementary Payment (SSI/SSP) Cash-In Transitional Nutritional Benefit,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
0L,Breast and Cervical Cancer Treatment Program (BCCTP) Transitional,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0M,Breast and Cervical Cancer Treatment Program (BCCTP) -Accelerated Enrollment (AE) - 2 months,Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0N,Breast and Cervical Cancer Treatment Program (BCCTP) -Accelerated Enrollment (AE),Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0P,Breast and Cervical Cancer Treatment Program (BCCTP),Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
